1058661	飞鸟集	8.9	31708	0
1011754	海子的诗	8.9	21366	0
30328199	夜空总有最大密度的蓝色	6.9	591	0
3297888	云雀叫了一整天	8.5	7502	0
30242736	取瑟而歌	8.8	315	0
3597825	我的孤独是一座花园	8.6	9031	0
25858680	二十首情诗和一首绝望的歌	8.3	4059	0
26309691	月光落在左手上	8.3	6032	0
11584574	万物静默如谜	8.6	11705	0
26759579	事物的味道，我尝得太早了	8.6	3009	0
1883245	诗经	9.4	11996	0
27133274	孩子们的诗	9	3850	0
11516338	我是你流浪过的一个地方	8.6	2422	0
1203426	人间词话	9	21432	0
26309861	摇摇晃晃的人间	8.3	3501	0
6440343	荒原	8.9	1824	0
1045352	二十首情诗与绝望的歌	8.8	6698	0
30374067	年轻人，请忍受一下	9.1	76	0
26832913	二十亿光年的孤独	7.8	2150	0
27056383	一只狼在放哨	8.5	1158	0
27035254	智惠子抄	8.5	193	0
27074065	《读睡诗选之春暖花开》	0		
27074768	在所有声音中，我倾听你：赵又廷为你读诗	7.9	137	0
27088312	呕吐袋之歌	7.4	304	0
3265311	乡愁	8.1	293	0
3608208	牧羊少年奇幻之旅	8.6	75330	1
1046209	安徒生童话故事集	9.2	45358	0
1043008	格林童话全集	9	36939	0
1035848	一千零一夜	8.6	22035	0
1036274	夏洛的网	8.5	28400	1
30237190	银河铁道之夜	9	758	0
30288379	有呀有呀书店	9.2	843	0
30299697	黑塞童话集	8	58	1
1071241	哈利·波特与阿兹卡班的囚徒	8.9	91253	1
3554154	阿狸·梦之城堡	9	26587	0
20443559	小王子	7.6	21010	0
1056733	地下铁	8.3	43110	0
1039487	哈利·波特与密室	8.9	87986	1
6857344	夜莺与玫瑰	8.5	8107	0
1009257	哈利·波特与火焰杯	9	87835	1
1119839	王尔德童话	9.1	12597	0
5993314	安吉拉·卡特的精怪故事集	8	9074	1
27050816	大人心理童话	7.8	56	0
27050813	拯救王子的公主	8.1	61	0
27025046	飞越玫瑰园	6.9	77	1
3576486	小狗钱钱	9	9651	0
1085470	海底两万里	8.4	32984	1
1002898	父与子全集	9.2	21475	0
27069925	不可思议的朋友	9	1414	0
1064841	绿山墙的安妮	9.1	5584	1
1013129	哈利·波特与凤凰社	8.7	73413	1
1318622	青铜葵花	8.7	4467	1
27056437	小淑女	8.5	25	0
1063733	神秘的女老师	8.5	776	1
26796551	《葫芦兄弟》（全13册）	9.1	25	0
1019568	三国演义（全二册）	9.2	70461	1
1029553	西游记（全二册）	8.8	29083	1
1008357	水浒传（全二册）	8.5	30858	1
26610864	浮生六记	8.1	14281	0
1456692	金瓶梅	8.7	5927	1
27053166	红楼梦	9.7	882	1
26924451	0			
10488580	鬼谷子	8.9	647	0
1059258	道德经	9.4	11799	0
1053088	陶庵梦忆 西湖梦寻	9.2	3217	0
1014561	古文观止	9	10903	0
30278349	宣华录	9.5	67	0
1042053	儒林外史	8.3	4588	1
1147193	世说新语	9.1	3644	0
27006467	浮生六记	8.1	1676	0
4903692	东京梦华录	9.1	1400	0
1286547	菜根谭	8.6	6018	0
27060684	民国诗学	8.5	23	0
27075633	老庄选诠	0		
7055707	话说金圣叹	8.5	16	0
1085860	基督山伯爵	9	64346	1
1013380	茶花女	8.2	66507	1
1008988	了不起的盖茨比	8.3	56421	1
1024197	巴黎圣母院	8.3	55328	1
1119522	呼啸山庄	8.4	71062	1
1205370	羊脂球	8.1	56146	1
1039840	查特莱夫人的情人	7.6	6169	1
27086031	孤独，一个人的狂欢	8.4	87	0
1088922	黑骏马	8	914	1
2060483	克雷洛夫寓言	7.8	290	0
1014578	我的精神家园	9.1	21746	0
1418686	红拂夜奔	8.6	19087	1
1082150	白银时代	8.4	20335	1
1082406	黄金时代	8.9	34469	1
27013708	一只特立独行的猪	8.6	2549	0
30163860	绿毛水怪	9	1314	1
27013716	沉默的大多数	9	1931	0
3518332	绿毛水怪	9	9536	1
27013741	黄金时代	8.9	1680	1
1085883	青铜时代	8.7	16218	1
1776683	沉默的大多数	9	12938	0
3264665	三十而立	8.7	5167	1
27111096	爱你就像爱生命	8.6	1112	0
1418180	思维的乐趣	8.9	9353	0
1763806	万寿寺	8.6	6450	1
1883992	黄金时代	9	5488	1
26427759	我的精神家园	8.5	35	0
2364742	王小波散文	9	718	0
1777932	寻找无双·东宫西宫	8.7	6603	1
30314033	无所畏	7.1	2329	0
1426971	野火集	8.8	22160	0
3344676	常识	8.1	38239	0
1398395	狂人日记	8.7	28695	1
30407050	有话说	7.7	664	0
30389935	四个春天	8.3	845	0
20425053	我所理解的生活	7.6	20548	0
3860856	可爱的洪水猛兽	8.1	20056	0
3642673	我执	8	26285	0
1003284	退步集	8.1	20134	0
1027247	丑陋的中国人	7.8	16329	0
1014189	0			
27081293	角儿	8.6	1326	1
4299190	皮皮鲁魔鬼训练营	9.1	60	0
1075506	鲁迅杂文精选	8.8	320	0
27049319	人间有味	8.5	379	0
24540864	第七天	6.8	39308	1
4760224	许三观卖血记	8.9	24860	1
1401425	兄弟（上）	8.3	67133	1
20441957	兄弟	8.5	10775	1
1082138	在细雨中呼喊	8.3	17949	1
27064488	活着	9.5	2516	1
20421947	在细雨中呼喊	8.5	7036	1
1061118	活着	9.1	82396	1
4882133	兄弟	8.5	12773	1
1703544	兄弟（下）	7.4	39861	1
30178336	我只知道人是什么	6.9	585	0
26291216	我们生活在巨大的差距里	6.5	3545	0
27141102	许三观卖血记	9.3	676	1
20406553	现实一种	8.1	1303	1
30259153	第七天	7.7	293	1
2237621	十八岁出门远行	8.5	3469	1
20397280	黄昏里的男孩	7.9	714	1
1053543	内心之死	7.8	183	1
6073365	余华长篇小说	9.5	184	1
1046276	温暖和百感交集的旅程	8.1	1431	0
1031289	高潮	7.7	197	1
1014278	红玫瑰与白玫瑰	8.4	51552	1
1963684	半生缘	8.6	45979	1
1082162	第一炉香	8.4	22659	1
10757940	倾城之恋	8.7	12402	1
3017857	金锁记	8.5	35360	1
10757938	半生缘	9.1	5649	1
10757939	红玫瑰与白玫瑰	8.7	6949	1
3616310	小团圆	7.6	43566	1
10757941	小团圆	8.2	3292	1
10757942	怨女	8.4	2366	1
2267883	色，戒	8	13477	1
1985223	倾城之恋	8.7	28053	1
1980436	流言	8.7	8363	0
1015403	今生今世	7.7	9800	0
11614508	流言	8.9	1375	0
1004992	张爱玲文集	8.8	12193	1
26333998	少帅	6.9	1386	1
30259665	一两江湖之红线引	8.7	556	0
2008406	红楼梦魇	8.2	2925	0
1124750	张看	8.3	1416	1
1263657	张爱玲	7.3	72	0
25812145	盛妆·张爱玲	7.5	17	0
1126150	张爱玲文萃	8.2	76	0
3803820	人生	8.4	26567	1
1080309	尘埃落定	8.4	36634	1
3633461	一句顶一万句	8.7	24570	1
3239549	夹边沟记事	9.2	18750	0
3012517	小姨多鹤	8.6	20766	1
1143694	动物凶猛	8.3	21918	1
10517238	平凡的世界	9	21426	1
27007140	丙申故事集	7.5	572	1
26719954	我的前半生	7.6	162	1
27078754	地球纪元 I：太阳危机	6.9	97	0
4191642	五个女子和一根绳子	8.9	47	1
26874195	户口本	8.5	405	1
1069848	围城	9	25872	1
24745649	围城	9.2	8471	1
1061242	写在人生边上	8.8	5886	0
1855364	围城	9.2	22851	1
1058679	人·兽·鬼	8.7	8619	1
27070488	围城	9.2	853	1
1073349	写在人生边上 人生边上的边上 石语	8.8	7614	0
1022914	谈艺录	9.2	895	0
1041366	管锥编（全五册）	9.3	1146	0
1464989	围城	9.1	6982	1
1006781	七缀集	9	1774	0
1076598	宋诗选注	8.8	2463	0
2988964	管錐編（全四冊）	9.5	684	0
2988970	谈艺录	9.4	518	0
1039079	写在人生边上 写在人生边上的边上 石语	9	2051	0
4912688	干校六记	8.6	3922	0
4054726	围城 / 人·兽·鬼	9.3	880	1
27090318	生命从容 我心优雅：杨绛传	9	25	0
1067305	槐聚诗存	8	330	0
25807851	钱边缀琐	8	44	0
1007433	红与黑	8.2	31547	1
1205054	悲惨世界（上中下）	8.9	32585	1
1203251	雾都孤儿	8.1	21253	1
2154960	一个陌生女人的来信	8.7	61966	1
1013502	钢铁是怎样炼成的	7.6	50007	1
1051193	麦琪的礼物	8.6	37177	1
1006197	哈姆莱特	8.5	20965	0
1258498	项链	8.3	24417	1
4108901	Letter from an Unknown Woman	8.4	809	1
1014144	大卫·科波菲尔（上下）	8.3	5160	1
2174410	名利场	8.3	2115	1
1088065	阿Q正传	8.7	42009	1
1449348	彷徨	8.9	14074	1
1915958	野草	9.3	6163	0
25898626	鲁迅全集	9.8	466	0
1000517	故事新编	8.9	6557	1
1157014	伤逝	8.8	4550	1
1442720	鲁迅全集（2005最新修订版）	9.4	3714	1
1203363	中国小说史略	9.1	1250	1
2046909	故事新编	9.2	3797	1
26285194	故事新编	9.2	1429	1
1968084	而已集	8.8	821	0
1974027	热风	8.7	821	0
26710670	呐喊	9.3	820	1
25778507	朝花夕拾	9.2	314	0
1830621	呐喊	9.1	981	1
5905348	笑谈大先生	8.3	5591	0
25745773	呐喊	9.6	445	1
2058956	影的告别	8.5	53	0
26938278	野草	9.5	14	0
30421237	纳兰词（全二册·全词笺注彩图版）	9.1	215	0
30382761	讲给孩子的唐宋诗	8.9	30	0
